사용일자,5호선,9호선,합계
2019-01,780772,637457,1418229
2019-02,625498,517351,1142849
2019-03,757556,624752,1382308
2019-04,876295,718607,1594902
2019-05,808887,665873,1474760
2019-06,735081,611520,1346601
2019-07,823408,689080,1512488
2019-08,753448,637582,1391030
2019-09,719441,607747,1327188
2019-10,827077,695989,1523066
2019-11,812038,686825,1498863
2019-12,799577,667874,1467451
2020-01,723591,606159,1329750
2020-02,650467,534269,1184736
2020-03,561148,447553,1008701
2020-04,573029,467546,1040575
2020-05,606623,504365,1110988
2020-06,667018,559423,1226441
2020-07,712653,598099,1310752
2020-08,580561,492679,1073240
2020-09,544305,450865,995170
2020-10,604563,511928,1116491
2020-11,649384,536399,1185783
2020-12,540957,435728,976685
2021-01,560936,462134,1023070
2021-02,576983,490393,1067376
2021-03,778781,677735,1456516
2021-04,750393,648637,1399030
2021-05,684822,600838,1285660
2021-06,745996,647705,1393701
2021-07,616884,523755,1140639
2021-08,587251,511017,1098268
2021-09,579799,513280,1093079
2021-10,643864,574690,1218554
2021-11,757912,668162,1426074
2021-12,744872,655474,1400346
2022-01,699292,619781,1319073
2022-02,576558,515877,1092435
2022-03,651697,577701,1229398
2022-04,774021,699312,1473333
2022-05,809640,740152,1549792
2022-06,768683,709564,1478247
2022-07,801174,738959,1540133
2022-08,802814,722399,1525213
2022-09,762631,698820,1461451
2022-10,806749,731101,1537850
2022-11,842761,791601,1634362
2022-12,883227,814715,1697942
2023-01,771660,705991,1477651
2023-02,776115,718608,1494723
2023-03,866553,795952,1662505
2023-04,821568,754437,1576005
2023-05,816576,753029,1569605
2023-06,829914,769711,1599625
